,"Mitchell, Bob",,"1,001 Life story questions",".","Engadine NSW, Bob Mitchell, 6th. ed., 2010",".","95p.",".",646459236,,"...............",,"907.2  MIT","2012 - Jan.","...................","32.95",".........",,743,"Oral history   2. Interviewing"
,".......................................",,"Australian dictionary of biography.  Vol 10. 1891-1839  Lat-Ner",".","Melbourne, M.U.P. 1986",".","680p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,431,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 11. 1891-1939  Nes-Smi",".","Melbourne, M.U.P, 1988.",".","677p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,432,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 12. 1891-1939  Smy-Z",".","Melbourne, M.U.P., 1990",".","611p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,433,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 13. 1940-1980  A-De",".","Melbourne, M.U.P., 1993",".","626p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,434,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 14.  1940-1980  Di-Kel",".","Melbourne, M.U.P., 1996",".","616p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,435,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 14.  1940-1980  Kem-Pie",".","Melbourne, M.U.P., 2000",".","611p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,436,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 16.  1940-1980  Pik-Z",".","Melbourne, M.U.P., 2002",".","611p",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,437,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography.  Vol 17.  1981-1990  A-K",".","Melbourne, M.U.P.,2007",".","645p.",".",,,"...............",,"920.094  AUS ","...............","don. - Rod Grant","........","........",,438,"Australia - Biography - Dictionaries"
,".......................................",,"Australian dictionary of biography. Index: volumes 1 to 12  1788-1939",".","Melbojurne, MUP, 1991",".","326p.",".",,,"...............",,"920.094  AUS","...............","don. - Rod Grant","............",".........",,850,"Australia - Biography - Indexes  2. Australia - History - 1788-1900 - Indexes  3. Australia - History -1901-1945 - Indexes"
,"Jennings, M.J.",,"Australian goldfields",".","Melbourne, HIll of Content, 1966",".","27p.",".",,,"Hill of Content Archive series",0,"994.03  JEN","...............","...................","........","........",,510,"Gold mines and mining - Australia"
,"Laidlaw, Ronald",,"Australian history",".","South Melbourne, Macmillan Education, 1991",".","333p., illus.",".",,,"...............",,"994  LAI","...............","...................","........","........",,19,"Australia - History"
,"Ward, Russell",,"Australian legend",".","London, O.U.P.,  2nd.ef. 1966",".","283p., illus. maps",".",,,"...............",,"994   WAR 1","2009","don. - Jenny Adam ","........","........",,578,"Australia - History - 1788-1900"
,"Jones, Ian",,"Australian Light Horse",".","North Sydney, Time-Life, 1987",".","168p. , illus.",".",,,"Australians at war. ",0,"940.415  JON","2012 - Feb.","don. - Rod Grant","........","........",,758,"War - 1914-1918 - Campaigns - Palestine   2. Australia - Army - Australian Light Horse"
,"Pownall, Eve",,"Australian pioneer women",,"South Yarra (Vic.), Viking O'Neil, 1988",,"296p., illus",,,,,,"994  POW 2","2014 Nov.","don. - Jan Andrews",,,,1009,"Frontier and pioneer life - Australia   2. Women - Australia - History"
,"Larkins, John & Howard, Bruce ",,"Australian pubs",".","Melbourne, Rigby, 1973",".","280p. b&w / col. photos",".",,,"...............",,"647.94  LAR","...............","...................","........","........",,511,"Hotels - Australia"
,".......................................",,"Australian Thunderer. 'The Age' after the Gold Rush 1854 - 1859",".","Melb., Heritage, nd",".","102p.",".",,,"...............",,"994.031  AUS","...............","...................","........","........",,20,"Age (Melbourne, Victoria)  2. Victoria - Newspapers   3. Australia - History - Sources"
,"Edwards, Ron",,"Australian traditional bush crafts",".","Melbourne, Lansdowne, 1975",".","143p., illus.",".",,,"...............",,"680.0994  EDW","...............","...................","............",".........",,839,"Handicraft - Australia  2. Country life - Australia"
,"Adam-Smith, Patsy",,"Australian women at war",,"Melbourne, Thomas Nelson, 1984",,"386p., illus.",,"0 17 006408 5",,,,"994.04  ADA 1","2015 - Oct.","don. - Lynn Moore","........","........",,1064,"War - 1914 - 1918 - Women - Australia    2. War - 1939 - 1945 - Women - Australia   3. Women - Australia"
,"National Trust of Australia (Victoria)",,"Australiana Exhibition catalogue.  March 1967",".","Melbourne, National Trust of Australia, 1967",".","43p.",".",,,"...............",,"759.994  NAT","...............","...................","............",".........",,884,"Australia - History - Exhibitions"
,".........................................",,"Australians 1838",,"Broadway, NSW, Fairfax, Syme & Weldon, 1987",0,"474p., illus",,,,"Australians. A historical library vol.2",0,"994   AUS","2014 - April","don. - W.G.R.L.C.","........",".........",,973,"Australia - History - 1788-1851   2. Australia - Social life and customs - 1788-1851  3. Australia - Social conditions"
,".........................................",,"Australians 1888",,"Broadway, NSW, Fairfax, Syme & Weldon, 1987",0,"474p., illus",,,,"Australians. A historical library  vol.3",0,"994   AUS","2014 - April","don. - W.G.R.L.C.","........",".........",,974,"Australia - History - 19th century   2. Australia - Social life and customs"
,".........................................",,"Australians 1938",,"Broadway, NSW, Fairfax, Syme & Weldon, 1987",0,"474p., illus",,,,"Australians. A historical library  vol.4",0,"994   AUS","2014 - April","don. - W.G.R.L.C.","........",".........",,975,"Australia - History - 1901-1945  2  Australia - Social life and customs - 1901-1945"
,".........................................",,"Australians 1988",,"Broadway, NSW, Fairfax, Syme & Weldon, 1987",0,"254p., illus.",,,,"Australians. A historical library vol.12",0,"994   AUS","2014 - April","don. - W.G.R.L.C.","........",".........",,983,"Australia - History  2. Australia - Social Life and customs"
